,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
13,Faith Carson,3,0,1,.000,0,1,.000,0,0,,2,2,1.000,1,3,4,1,0,0,1,1,2,ohio-state,2023-11-12-13-ohio-state
0,T'Yana Todd,35,4,9,.444,1,3,.333,3,6,.500,5,6,.833,1,2,3,0,2,0,4,1,16,boston-college,2023-11-16-19-ohio-state
1,Kaylah Ivey,27,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,3,1,0,boston-college,2023-11-16-19-ohio-state
2,Teya Sidberry,26,6,13,.462,6,12,.500,0,1,.000,2,2,1.000,2,6,8,0,3,0,2,4,14,boston-college,2023-11-16-19-ohio-state
3,Andrea Daley,26,5,10,.500,5,9,.556,0,1,.000,4,6,.667,1,1,2,1,2,0,2,2,14,boston-college,2023-11-16-19-ohio-state
4,Dontavia Waggoner,19,1,7,.143,1,7,.143,0,0,,2,2,1.000,3,3,6,0,1,0,1,4,4,boston-college,2023-11-16-19-ohio-state
6,JoJo Lacey,24,3,6,.500,3,3,1.000,0,3,.000,0,0,,0,5,5,0,0,0,3,2,6,boston-college,2023-11-16-19-ohio-state
7,Nene Ndiaye,18,3,6,.500,3,5,.600,0,1,.000,0,0,,1,2,3,2,0,0,1,1,6,boston-college,2023-11-16-19-ohio-state
8,Ava McGee,12,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,boston-college,2023-11-16-19-ohio-state
9,Lili Krasovec,11,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,4,boston-college,2023-11-16-19-ohio-state
10,Kayla Lezama,6,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,2,boston-college,2023-11-16-19-ohio-state
0,Cotie McMahon,26,8,10,.800,8,9,.889,0,1,.000,8,12,.667,0,4,4,2,2,1,1,1,24,ohio-state,2023-11-16-19-ohio-state
