,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
8,Kylie Feuerbach,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,iowa,2024-01-02-21-iowa
9,Addison O'Grady,3,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,iowa,2024-01-02-21-iowa
0,Caitlin Clark,29,10,22,0.455,7,13,0.538,3,9,0.333,6,7,0.857,1,9,10,10,2,0,3,3,29,iowa,2024-01-05-18-rutgers
1,Molly Davis,27,3,4,0.75,1,2,0.5,2,2,1.0,0,0,,0,1,1,5,0,0,0,0,8,iowa,2024-01-05-18-rutgers
2,Gabbie Marshall,26,4,7,0.571,0,0,,4,7,0.571,0,0,,0,0,0,0,1,0,1,0,12,iowa,2024-01-05-18-rutgers
3,Kate Martin,24,7,10,0.7,7,8,0.875,0,2,0.0,3,3,1.0,0,7,7,5,0,0,1,1,17,iowa,2024-01-05-18-rutgers
4,Hannah Stuelke,22,5,8,0.625,5,8,0.625,0,0,,0,1,0.0,2,5,7,4,0,1,0,2,10,iowa,2024-01-05-18-rutgers
6,Kylie Feuerbach,20,0,1,0.0,0,0,,0,1,0.0,1,2,0.5,1,2,3,2,1,0,0,2,1,iowa,2024-01-05-18-rutgers
7,Sydney Affolter,17,3,4,0.75,3,4,0.75,0,0,,4,4,1.0,4,6,10,1,1,0,1,1,10,iowa,2024-01-05-18-rutgers
8,Taylor McCabe,12,1,3,0.333,0,1,0.0,1,2,0.5,0,0,,0,2,2,1,0,0,0,0,3,iowa,2024-01-05-18-rutgers
9,Sharon Goodman,11,4,7,0.571,4,7,0.571,0,0,,0,0,,1,3,4,0,0,2,1,1,8,iowa,2024-01-05-18-rutgers
10,Jada Gyamfi,5,0,3,0.0,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,2,0,iowa,2024-01-05-18-rutgers
11,Addison O'Grady,4,2,2,1.0,2,2,1.0,0,0,,1,3,0.333,0,1,1,0,0,0,1,1,5,iowa,2024-01-05-18-rutgers
12,Kennise Johnson,3,0,1,0.0,0,0,,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,iowa,2024-01-05-18-rutgers
13,AJ Ediger,3,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0,iowa,2024-01-05-18-rutgers
0,Mya Petticord,37,3,10,0.3,1,4,0.25,2,6,0.333,4,4,1.0,0,2,2,4,0,1,2,0,12,rutgers,2024-01-05-18-rutgers
1,Jillian Huerter,37,3,7,0.429,2,3,0.667,1,4,0.25,0,0,,0,2,2,2,2,1,0,4,7,rutgers,2024-01-05-18-rutgers
2,Lisa Thompson,33,5,18,0.278,4,15,0.267,1,3,0.333,0,0,,0,2,2,0,0,0,3,1,11,rutgers,2024-01-05-18-rutgers
3,Chyna Cornwell,20,5,6,0.833,5,6,0.833,0,0,,2,4,0.5,3,3,6,0,0,0,0,1,12,rutgers,2024-01-05-18-rutgers
4,Destiny Adams,20,5,9,0.556,5,9,0.556,0,0,,1,4,0.25,2,4,6,2,0,2,3,4,11,rutgers,2024-01-05-18-rutgers
6,Antonia Bates,24,2,7,0.286,2,2,1.0,0,5,0.0,0,0,,1,2,3,1,1,2,1,2,4,rutgers,2024-01-05-18-rutgers
7,Kassondra Brown,24,3,9,0.333,2,8,0.25,1,1,1.0,5,5,1.0,3,8,11,1,2,0,2,3,12,rutgers,2024-01-05-18-rutgers
8,Erica Lafayette,6,0,4,0.0,0,0,,0,4,0.0,0,0,,0,0,0,0,0,0,0,2,0,rutgers,2024-01-05-18-rutgers
0,Caitlin Clark,35,8,18,0.444,2,4,0.5,6,14,0.429,4,4,1.0,0,10,10,10,1,1,5,1,26,iowa,2024-01-10-00-purdue
1,Kate Martin,33,5,10,0.5,4,7,0.571,1,3,0.333,4,4,1.0,2,6,8,1,1,1,2,3,15,iowa,2024-01-10-00-purdue
2,Gabbie Marshall,25,4,9,0.444,0,1,0.0,4,8,0.5,0,0,,0,0,0,1,0,0,1,3,12,iowa,2024-01-10-00-purdue
3,Hannah Stuelke,24,5,9,0.556,5,9,0.556,0,0,,0,1,0.0,2,4,6,2,0,2,2,3,10,iowa,2024-01-10-00-purdue
4,Molly Davis,22,1,2,0.5,0,0,,1,2,0.5,0,0,,1,0,1,1,0,0,1,1,3,iowa,2024-01-10-00-purdue
6,Sydney Affolter,24,5,6,0.833,3,3,1.0,2,3,0.667,2,2,1.0,2,4,6,4,0,1,1,2,14,iowa,2024-01-10-00-purdue
7,Kylie Feuerbach,16,1,2,0.5,0,0,,1,2,0.5,2,2,1.0,2,0,2,0,1,0,0,0,5,iowa,2024-01-10-00-purdue
8,Sharon Goodman,14,2,2,1.0,2,2,1.0,0,0,,2,2,1.0,0,3,3,1,0,1,2,2,6,iowa,2024-01-10-00-purdue
9,Addison O'Grady,2,2,2,1.0,2,2,1.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,5,iowa,2024-01-10-00-purdue
10,Taylor McCabe,2,0,0,,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,1,0,iowa,2024-01-10-00-purdue
11,Jada Gyamfi,2,0,2,0.0,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,iowa,2024-01-10-00-purdue
0,Abbey Ellis,36,5,11,0.455,4,7,0.571,1,4,0.25,4,4,1.0,1,2,3,6,5,0,2,2,15,purdue,2024-01-10-00-purdue
1,Mary Ashley Stevenson,32,3,6,0.5,3,5,0.6,0,1,0.0,2,2,1.0,1,2,3,0,0,0,2,3,8,purdue,2024-01-10-00-purdue
2,Madison Layden,32,2,5,0.4,1,3,0.333,1,2,0.5,5,6,0.833,0,6,6,1,0,1,2,3,10,purdue,2024-01-10-00-purdue
3,Caitlyn Harper,31,4,10,0.4,2,2,1.0,2,8,0.25,3,3,1.0,2,2,4,3,0,4,0,3,13,purdue,2024-01-10-00-purdue
4,Jeanae Terry,28,5,9,0.556,5,8,0.625,0,1,0.0,0,0,,0,1,1,4,2,0,3,2,10,purdue,2024-01-10-00-purdue
6,Jayla Smith,17,4,9,0.444,4,7,0.571,0,2,0.0,0,0,,1,1,2,1,1,0,0,1,8,purdue,2024-01-10-00-purdue
7,Rashunda Jones,10,1,7,0.143,0,6,0.0,1,1,1.0,0,0,,0,0,0,0,1,0,1,2,3,purdue,2024-01-10-00-purdue
8,Mila Reynolds,6,1,3,0.333,1,2,0.5,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,2,4,purdue,2024-01-10-00-purdue
9,Sophie Swanson,5,0,2,0.0,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,purdue,2024-01-10-00-purdue
10,McKenna Layden,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,purdue,2024-01-10-00-purdue
0,Sania Copeland,34,3,8,0.375,1,1,1.0,2,7,0.286,0,0,,0,3,3,0,5,0,2,3,8,wisconsin,2024-01-16-21-iowa
1,Serah Williams,31,8,15,0.533,8,15,0.533,0,0,,3,3,1.0,4,10,14,2,0,3,7,2,19,wisconsin,2024-01-16-21-iowa
2,Natalie Leuzinger,29,1,8,0.125,1,4,0.25,0,4,0.0,2,2,1.0,2,2,4,1,0,0,2,4,4,wisconsin,2024-01-16-21-iowa
3,Ronnie Porter,26,2,6,0.333,0,3,0.0,2,3,0.667,3,4,0.75,0,3,3,0,0,0,2,5,9,wisconsin,2024-01-16-21-iowa
4,Brooke Schramek,26,2,6,0.333,2,4,0.5,0,2,0.0,2,2,1.0,2,0,2,3,1,0,2,4,6,wisconsin,2024-01-16-21-iowa
6,Halle Douglass,16,0,0,,0,0,,0,0,,2,2,1.0,1,1,2,1,1,0,4,4,2,wisconsin,2024-01-16-21-iowa
7,D'Yanis Jimenez,16,0,6,0.0,0,6,0.0,0,0,,0,0,,1,2,3,3,0,0,4,0,0,wisconsin,2024-01-16-21-iowa
8,Tessa Grady,10,0,3,0.0,0,0,,0,3,0.0,0,0,,1,0,1,1,0,0,3,2,0,wisconsin,2024-01-16-21-iowa
9,Ana Guillen,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,wisconsin,2024-01-16-21-iowa
10,Lily Krahn,2,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,2,0,0,wisconsin,2024-01-16-21-iowa
11,Leena Patibandla,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,wisconsin,2024-01-16-21-iowa
12,Imbie Jones,2,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,wisconsin,2024-01-16-21-iowa
0,Caitlin Clark,33,8,18,0.444,2,4,0.5,6,14,0.429,10,10,1.0,0,7,7,5,4,1,4,1,32,iowa,2024-01-16-21-iowa
1,Gabbie Marshall,25,1,3,0.333,0,1,0.0,1,2,0.5,0,0,,0,0,0,3,2,0,0,1,3,iowa,2024-01-16-21-iowa
2,Kate Martin,24,5,8,0.625,1,1,1.0,4,7,0.571,2,2,1.0,1,4,5,4,3,0,2,1,16,iowa,2024-01-16-21-iowa
3,Molly Davis,24,2,6,0.333,2,3,0.667,0,3,0.0,1,1,1.0,0,2,2,4,1,0,0,2,5,iowa,2024-01-16-21-iowa
4,Sharon Goodman,10,1,1,1.0,1,1,1.0,0,0,,0,0,,0,2,2,0,1,1,1,2,2,iowa,2024-01-16-21-iowa
6,Sydney Affolter,25,3,3,1.0,2,2,1.0,1,1,1.0,5,6,0.833,2,4,6,4,3,0,3,1,12,iowa,2024-01-16-21-iowa
7,Kylie Feuerbach,18,2,6,0.333,0,0,,2,6,0.333,0,0,,1,0,1,2,0,0,3,1,6,iowa,2024-01-16-21-iowa
8,Addison O'Grady,14,3,7,0.429,3,7,0.429,0,0,,0,0,,2,1,3,1,0,2,1,3,6,iowa,2024-01-16-21-iowa
9,AJ Ediger,12,2,4,0.5,2,4,0.5,0,0,,3,5,0.6,4,0,4,1,0,0,0,1,7,iowa,2024-01-16-21-iowa
10,Taylor McCabe,10,1,4,0.25,0,0,,1,4,0.25,0,0,,0,0,0,1,2,0,0,0,3,iowa,2024-01-16-21-iowa
11,Jada Gyamfi,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,iowa,2024-01-16-21-iowa
12,Kennise Johnson,2,1,1,1.0,1,1,1.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,4,iowa,2024-01-16-21-iowa
0,Jaz Shelley,37,7,17,0.412,2,6,0.333,5,11,0.455,0,0,,2,2,4,5,2,0,3,2,19,nebraska,2024-01-27-14-iowa
1,Alexis Markowski,32,5,11,0.455,5,10,0.5,0,1,0.0,5,6,0.833,3,8,11,0,0,0,7,3,15,nebraska,2024-01-27-14-iowa
2,Natalie Potts,15,2,6,0.333,1,1,1.0,1,5,0.2,0,0,,0,2,2,0,0,0,3,1,5,nebraska,2024-01-27-14-iowa
3,Darian White,14,1,2,0.5,1,2,0.5,0,0,,5,8,0.625,2,2,4,3,0,0,2,1,7,nebraska,2024-01-27-14-iowa
4,Maddie Krull,14,0,3,0.0,0,2,0.0,0,1,0.0,0,0,,1,1,2,1,2,0,1,0,0,nebraska,2024-01-27-14-iowa
6,Callin Hake,24,3,6,0.5,1,3,0.333,2,3,0.667,3,5,0.6,1,3,4,1,1,0,1,3,11,nebraska,2024-01-27-14-iowa
7,Logan Nissley,19,2,4,0.5,0,0,,2,4,0.5,1,2,0.5,0,3,3,4,0,0,2,3,7,nebraska,2024-01-27-14-iowa
8,Kendall Coley,18,1,2,0.5,1,2,0.5,0,0,,0,0,,2,0,2,0,0,0,0,0,2,nebraska,2024-01-27-14-iowa
9,Jessica Petrie,11,1,3,0.333,1,1,1.0,0,2,0.0,1,2,0.5,0,2,2,0,0,0,0,2,3,nebraska,2024-01-27-14-iowa
10,Kendall Moriarty,11,1,4,0.25,1,3,0.333,0,1,0.0,2,2,1.0,1,1,2,1,0,0,1,2,4,nebraska,2024-01-27-14-iowa
11,Annika Stewart,4,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,nebraska,2024-01-27-14-iowa
0,Caitlin Clark,35,12,22,0.545,4,7,0.571,8,15,0.533,6,7,0.857,0,10,10,6,2,0,5,3,38,iowa,2024-01-27-14-iowa
1,Kate Martin,32,6,11,0.545,6,8,0.75,0,3,0.0,4,6,0.667,1,4,5,4,1,0,2,2,16,iowa,2024-01-27-14-iowa
2,Gabbie Marshall,29,2,6,0.333,2,2,1.0,0,4,0.0,0,0,,0,0,0,1,2,0,0,1,4,iowa,2024-01-27-14-iowa
3,Molly Davis,27,1,2,0.5,1,2,0.5,0,0,,0,0,,1,2,3,6,1,0,0,1,2,iowa,2024-01-27-14-iowa
4,Hannah Stuelke,24,2,4,0.5,1,3,0.333,1,1,1.0,2,2,1.0,0,4,4,0,3,0,2,4,7,iowa,2024-01-27-14-iowa
6,Sydney Affolter,20,4,6,0.667,3,4,0.75,1,2,0.5,3,3,1.0,2,2,4,1,1,1,0,1,12,iowa,2024-01-27-14-iowa
7,Kylie Feuerbach,12,0,1,0.0,0,0,,0,1,0.0,0,0,,0,2,2,1,1,0,1,3,0,iowa,2024-01-27-14-iowa
8,Addison O'Grady,8,1,3,0.333,1,3,0.333,0,0,,1,2,0.5,0,0,0,0,0,1,0,2,3,iowa,2024-01-27-14-iowa
9,Sharon Goodman,7,1,1,1.0,1,1,1.0,0,0,,0,0,,0,1,1,1,1,0,0,0,2,iowa,2024-01-27-14-iowa
10,Taylor McCabe,6,2,3,0.667,0,0,,2,3,0.667,0,0,,0,1,1,0,0,0,0,2,6,iowa,2024-01-27-14-iowa
11,AJ Ediger,2,0,0,,0,0,,0,0,,2,2,1.0,0,1,1,0,0,0,1,0,2,iowa,2024-01-27-14-iowa
0,Caitlin Clark,32,11,22,0.5,8,10,0.8,3,12,0.25,10,10,1.0,0,6,6,10,2,1,1,1,35,iowa,2024-01-31-20-northwestern
1,Molly Davis,26,1,4,0.25,0,1,0.0,1,3,0.333,0,0,,0,3,3,1,0,0,1,1,3,iowa,2024-01-31-20-northwestern
2,Hannah Stuelke,24,6,9,0.667,6,9,0.667,0,0,,5,8,0.625,2,7,9,2,0,0,0,1,17,iowa,2024-01-31-20-northwestern
3,Gabbie Marshall,23,4,5,0.8,0,0,,4,5,0.8,0,0,,0,0,0,2,0,0,0,1,12,iowa,2024-01-31-20-northwestern
4,Kate Martin,21,5,9,0.556,3,7,0.429,2,2,1.0,4,4,1.0,2,3,5,4,0,1,1,2,16,iowa,2024-01-31-20-northwestern
6,Sydney Affolter,23,2,4,0.5,2,4,0.5,0,0,,0,0,,2,5,7,2,0,1,0,1,4,iowa,2024-01-31-20-northwestern
7,Kylie Feuerbach,17,1,3,0.333,1,1,1.0,0,2,0.0,0,0,,1,0,1,1,0,0,1,0,2,iowa,2024-01-31-20-northwestern
8,Taylor McCabe,9,2,3,0.667,0,0,,2,3,0.667,0,0,,0,1,1,3,0,0,0,0,6,iowa,2024-01-31-20-northwestern
9,Addison O'Grady,7,2,3,0.667,2,3,0.667,0,0,,0,1,0.0,0,2,2,0,0,0,1,5,4,iowa,2024-01-31-20-northwestern
10,AJ Ediger,6,3,3,1.0,3,3,1.0,0,0,,2,3,0.667,0,2,2,1,2,0,0,0,8,iowa,2024-01-31-20-northwestern
11,Jada Gyamfi,4,1,2,0.5,0,1,0.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,3,iowa,2024-01-31-20-northwestern
12,Kennise Johnson,4,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,iowa,2024-01-31-20-northwestern
13,Sharon Goodman,3,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,iowa,2024-01-31-20-northwestern
0,Casey Harter,32,3,5,0.6,3,5,0.6,0,0,,3,6,0.5,0,4,4,2,0,1,0,0,9,northwestern,2024-01-31-20-northwestern
1,Caroline Lau,26,1,7,0.143,1,4,0.25,0,3,0.0,1,2,0.5,1,4,5,6,0,0,1,2,3,northwestern,2024-01-31-20-northwestern
2,Caileigh Walsh,17,3,6,0.5,2,4,0.5,1,2,0.5,2,2,1.0,0,2,2,0,0,1,1,5,9,northwestern,2024-01-31-20-northwestern
3,Hailey Weaver,17,5,9,0.556,2,5,0.4,3,4,0.75,0,0,,0,2,2,0,0,0,0,3,13,northwestern,2024-01-31-20-northwestern
4,Jasmine McWilliams,13,0,4,0.0,0,2,0.0,0,2,0.0,0,0,,0,4,4,0,0,0,1,0,0,northwestern,2024-01-31-20-northwestern
6,Paige Mott,27,3,4,0.75,3,4,0.75,0,0,,4,6,0.667,3,2,5,2,0,1,1,4,10,northwestern,2024-01-31-20-northwestern
7,Melannie Daley,24,8,17,0.471,8,17,0.471,0,0,,3,4,0.75,2,0,2,2,2,0,1,3,19,northwestern,2024-01-31-20-northwestern
8,Maggie Pina,22,2,5,0.4,0,2,0.0,2,3,0.667,0,0,,0,0,0,4,0,0,0,3,6,northwestern,2024-01-31-20-northwestern
9,Alana Goodchild,10,1,5,0.2,0,1,0.0,1,4,0.25,0,0,,0,1,1,1,0,0,1,2,3,northwestern,2024-01-31-20-northwestern
10,Crystal Wang,5,1,2,0.5,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,northwestern,2024-01-31-20-northwestern
11,Mercy Ademusayo,5,0,1,0.0,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,0,2,0,northwestern,2024-01-31-20-northwestern
0,Caitlin Clark,39,13,29,0.448,6,12,0.5,7,17,0.412,5,5,1.0,0,6,6,12,0,1,6,1,38,iowa,2024-02-03-00-maryland
1,Molly Davis,35,7,11,0.636,4,6,0.667,3,5,0.6,0,0,,2,2,4,3,1,0,2,3,17,iowa,2024-02-03-00-maryland
2,Kate Martin,33,6,14,0.429,6,11,0.545,0,3,0.0,3,3,1.0,2,8,10,4,1,0,5,3,15,iowa,2024-02-03-00-maryland
3,Gabbie Marshall,31,1,5,0.2,0,0,,1,5,0.2,0,0,,1,2,3,3,0,0,0,2,3,iowa,2024-02-03-00-maryland
4,Hannah Stuelke,26,4,8,0.5,4,8,0.5,0,0,,1,2,0.5,6,2,8,2,1,0,1,3,9,iowa,2024-02-03-00-maryland
6,Sydney Affolter,20,2,5,0.4,1,2,0.5,1,3,0.333,0,0,,3,3,6,0,1,1,0,2,5,iowa,2024-02-03-00-maryland
7,Addison O'Grady,14,3,6,0.5,3,6,0.5,0,0,,0,0,,2,5,7,0,0,0,0,1,6,iowa,2024-02-03-00-maryland
8,Kylie Feuerbach,2,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,iowa,2024-02-03-00-maryland
0,Lavender Briggs,39,4,11,0.364,4,9,0.444,0,2,0.0,1,2,0.5,0,7,7,2,2,0,1,1,9,maryland,2024-02-03-00-maryland
1,Jakia Brown-Turner,39,9,14,0.643,5,9,0.556,4,5,0.8,3,4,0.75,2,7,9,1,0,1,1,4,25,maryland,2024-02-03-00-maryland
2,Shyanne Sellers,37,5,12,0.417,5,8,0.625,0,4,0.0,4,4,1.0,2,5,7,8,1,0,2,4,14,maryland,2024-02-03-00-maryland
3,Brinae Alexander,35,4,14,0.286,0,1,0.0,4,13,0.308,0,0,,0,2,2,0,3,0,1,1,12,maryland,2024-02-03-00-maryland
4,Bri McDaniel,32,8,14,0.571,8,13,0.615,0,1,0.0,6,8,0.75,1,2,3,4,1,0,4,3,22,maryland,2024-02-03-00-maryland
6,Faith Masonius,10,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,3,1,1,0,1,2,maryland,2024-02-03-00-maryland
7,Allie Kubek,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,maryland,2024-02-03-00-maryland
8,Emily Fisher,3,0,1,0.0,0,1,0.0,0,0,,1,2,0.5,1,0,1,0,0,0,0,0,1,maryland,2024-02-03-00-maryland
0,Leilani Kapinus,31,4,12,0.333,3,8,0.375,1,4,0.25,3,5,0.6,1,9,10,1,2,2,3,5,12,penn-state,2024-02-08-21-iowa
1,Ashley Owusu,30,4,15,0.267,4,10,0.4,0,5,0.0,10,14,0.714,5,4,9,3,3,0,5,3,18,penn-state,2024-02-08-21-iowa
2,Makenna Marisa,24,3,12,0.25,1,5,0.2,2,7,0.286,4,4,1.0,4,1,5,1,0,0,3,3,12,penn-state,2024-02-08-21-iowa
3,Shay Ciezki,11,2,6,0.333,0,1,0.0,2,5,0.4,0,0,,0,0,0,1,0,0,0,0,6,penn-state,2024-02-08-21-iowa
4,Ali Brigham,10,3,6,0.5,1,4,0.25,2,2,1.0,0,0,,1,0,1,1,0,1,0,2,8,penn-state,2024-02-08-21-iowa
6,Moriah Murray,25,2,6,0.333,0,1,0.0,2,5,0.4,3,3,1.0,1,5,6,3,0,0,1,2,9,penn-state,2024-02-08-21-iowa
7,Jayla Oden,21,1,4,0.25,1,1,1.0,0,3,0.0,0,0,,1,2,3,2,3,0,2,4,2,penn-state,2024-02-08-21-iowa
8,Chanaya Pinto,19,4,8,0.5,3,6,0.5,1,2,0.5,0,0,,1,3,4,0,1,0,2,4,9,penn-state,2024-02-08-21-iowa
9,Alli Campbell,18,4,7,0.571,2,3,0.667,2,4,0.5,0,0,,0,0,0,4,0,0,0,2,10,penn-state,2024-02-08-21-iowa
10,Grace Hall,12,2,5,0.4,1,2,0.5,1,3,0.333,2,2,1.0,2,0,2,1,0,2,0,5,7,penn-state,2024-02-08-21-iowa
11,Kylie Lavelle,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,penn-state,2024-02-08-21-iowa
0,Caitlin Clark,37,8,23,0.348,4,9,0.444,4,14,0.286,7,7,1.0,0,5,5,15,0,1,12,3,27,iowa,2024-02-08-21-iowa
1,Gabbie Marshall,35,2,5,0.4,1,1,1.0,1,4,0.25,0,0,,0,0,0,1,0,1,0,2,5,iowa,2024-02-08-21-iowa
2,Kate Martin,32,4,6,0.667,3,5,0.6,1,1,1.0,7,8,0.875,1,15,16,0,1,0,2,4,16,iowa,2024-02-08-21-iowa
3,Hannah Stuelke,32,17,20,0.85,17,20,0.85,0,0,,13,21,0.619,5,4,9,1,1,1,1,3,47,iowa,2024-02-08-21-iowa
4,Molly Davis,4,0,0,,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,iowa,2024-02-08-21-iowa
6,Sydney Affolter,31,2,4,0.5,1,2,0.5,1,2,0.5,4,4,1.0,2,8,10,3,3,3,1,5,9,iowa,2024-02-08-21-iowa
7,Kylie Feuerbach,19,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,0,2,2,3,1,0,0,3,0,iowa,2024-02-08-21-iowa
8,Addison O'Grady,4,2,4,0.5,2,4,0.5,0,0,,0,1,0.0,0,0,0,0,0,0,0,0,4,iowa,2024-02-08-21-iowa
9,AJ Ediger,4,1,2,0.5,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,iowa,2024-02-08-21-iowa
10,Taylor McCabe,2,0,1,0.0,0,0,,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,1,iowa,2024-02-08-21-iowa
11,Sharon Goodman,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,iowa,2024-02-08-21-iowa
0,Caitlin Clark,39,10,25,0.4,5,10,0.5,5,15,0.333,6,9,0.667,0,8,8,10,4,2,2,1,31,iowa,2024-02-11-13-nebraska
1,Kate Martin,37,7,13,0.538,3,5,0.6,4,8,0.5,2,2,1.0,1,5,6,4,0,0,7,4,20,iowa,2024-02-11-13-nebraska
2,Sydney Affolter,34,3,6,0.5,2,3,0.667,1,3,0.333,0,0,,3,3,6,2,0,0,1,3,7,iowa,2024-02-11-13-nebraska
3,Hannah Stuelke,34,7,11,0.636,7,10,0.7,0,1,0.0,1,4,0.25,1,5,6,1,2,2,4,4,15,iowa,2024-02-11-13-nebraska
4,Gabbie Marshall,34,1,6,0.167,1,1,1.0,0,5,0.0,0,0,,0,1,1,1,1,0,0,1,2,iowa,2024-02-11-13-nebraska
6,Kylie Feuerbach,14,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,iowa,2024-02-11-13-nebraska
7,Addison O'Grady,6,2,4,0.5,2,4,0.5,0,0,,0,0,,1,1,2,0,0,1,1,0,4,iowa,2024-02-11-13-nebraska
8,Molly Davis,2,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,iowa,2024-02-11-13-nebraska
0,Jaz Shelley,35,7,14,0.5,2,4,0.5,5,10,0.5,4,4,1.0,1,2,3,5,1,0,3,3,23,nebraska,2024-02-11-13-nebraska
1,Alexis Markowski,31,6,13,0.462,4,11,0.364,2,2,1.0,1,1,1.0,2,9,11,4,3,1,2,4,15,nebraska,2024-02-11-13-nebraska
2,Natalie Potts,26,6,13,0.462,6,11,0.545,0,2,0.0,2,3,0.667,1,5,6,2,0,0,1,3,14,nebraska,2024-02-11-13-nebraska
3,Kendall Moriarty,23,3,7,0.429,3,4,0.75,0,3,0.0,1,3,0.333,1,1,2,1,1,0,0,2,7,nebraska,2024-02-11-13-nebraska
4,Callin Hake,17,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,0,1,1,1,1,0,2,2,0,nebraska,2024-02-11-13-nebraska
6,Logan Nissley,24,5,12,0.417,2,5,0.4,3,7,0.429,2,3,0.667,3,4,7,0,1,0,1,0,15,nebraska,2024-02-11-13-nebraska
7,Kendall Coley,14,0,1,0.0,0,1,0.0,0,0,,0,0,,0,1,1,0,1,0,0,2,0,nebraska,2024-02-11-13-nebraska
8,Maddie Krull,12,0,2,0.0,0,0,,0,2,0.0,0,0,,0,3,3,1,0,0,2,1,0,nebraska,2024-02-11-13-nebraska
9,Darian White,10,2,5,0.4,2,3,0.667,0,2,0.0,0,0,,0,1,1,1,0,0,1,0,4,nebraska,2024-02-11-13-nebraska
10,Jessica Petrie,9,2,3,0.667,2,2,1.0,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,4,nebraska,2024-02-11-13-nebraska
0,Jordan Hobbs,34,6,11,0.545,5,8,0.625,1,3,0.333,3,4,0.75,0,5,5,1,0,2,1,3,16,michigan,2024-02-15-20-iowa
1,Laila Phelia,33,5,15,0.333,5,11,0.455,0,4,0.0,2,2,1.0,1,1,2,2,1,0,1,1,12,michigan,2024-02-15-20-iowa
2,Lauren Hansen,31,6,10,0.6,6,8,0.75,0,2,0.0,2,2,1.0,1,2,3,1,3,0,0,1,14,michigan,2024-02-15-20-iowa
3,Chyra Evans,30,5,7,0.714,4,5,0.8,1,2,0.5,2,4,0.5,4,1,5,2,0,1,2,2,13,michigan,2024-02-15-20-iowa
4,Elissa Brett,15,2,3,0.667,1,1,1.0,1,2,0.5,0,0,,1,0,1,1,0,0,3,5,5,michigan,2024-02-15-20-iowa
6,Cameron Williams,18,3,5,0.6,3,5,0.6,0,0,,4,6,0.667,0,3,3,2,1,0,1,4,10,michigan,2024-02-15-20-iowa
7,Taylor Woodson,11,5,6,0.833,5,6,0.833,0,0,,3,3,1.0,2,2,4,2,0,0,0,1,13,michigan,2024-02-15-20-iowa
8,Greta Kampschroeder,10,0,3,0.0,0,0,,0,3,0.0,0,0,,0,2,2,0,0,0,1,0,0,michigan,2024-02-15-20-iowa
9,Alyssa Crockett,9,1,5,0.2,1,3,0.333,0,2,0.0,0,0,,1,1,2,2,0,0,2,0,2,michigan,2024-02-15-20-iowa
10,Elise Stuck,9,2,3,0.667,2,2,1.0,0,1,0.0,0,0,,2,1,3,1,0,0,2,1,4,michigan,2024-02-15-20-iowa
