,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
11,Edie Darby,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,tennessee,2023-12-03-17-tennessee
0,Jaya McClure,30,3,9,0.333,2,6,0.333,1,3,0.333,2,2,1.0,0,2,2,3,0,0,3,3,9,ohio,2023-12-05-19-ohio-state
1,Monica Williams,22,2,7,0.286,1,5,0.2,1,2,0.5,0,0,,0,2,2,1,1,0,1,4,5,ohio,2023-12-05-19-ohio-state
2,Kennedi Watkins,16,2,7,0.286,1,5,0.2,1,2,0.5,0,0,,0,1,1,0,1,1,0,2,5,ohio,2023-12-05-19-ohio-state
3,Bengisu Alper,12,0,2,0.0,0,1,0.0,0,1,0.0,0,0,,1,5,6,1,0,0,2,4,0,ohio,2023-12-05-19-ohio-state
4,Kate Dennis,11,1,2,0.5,0,1,0.0,1,1,1.0,0,0,,0,0,0,0,1,0,0,0,3,ohio,2023-12-05-19-ohio-state
6,Laylay Fantroy,21,2,4,0.5,2,3,0.667,0,1,0.0,0,0,,1,3,4,0,1,0,3,1,4,ohio,2023-12-05-19-ohio-state
7,Bailey Tabeling,19,2,2,1.0,0,0,,2,2,1.0,0,0,,0,2,2,1,1,0,3,0,6,ohio,2023-12-05-19-ohio-state
8,Madi Mace,18,1,4,0.25,1,3,0.333,0,1,0.0,0,0,,0,4,4,0,1,0,8,4,2,ohio,2023-12-05-19-ohio-state
9,Cassidy Lafler,16,0,6,0.0,0,3,0.0,0,3,0.0,0,0,,0,2,2,0,1,0,3,1,0,ohio,2023-12-05-19-ohio-state
10,Kailah Johnson,10,1,2,0.5,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,1,0,0,1,4,ohio,2023-12-05-19-ohio-state
11,Asiah Baxter,10,0,2,0.0,0,2,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,ohio,2023-12-05-19-ohio-state
12,Peyton Guice,8,0,2,0.0,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,2,0,0,1,1,2,ohio,2023-12-05-19-ohio-state
13,Emma Barnett,7,2,5,0.4,1,1,1.0,1,4,0.25,0,0,,0,0,0,0,0,0,0,1,5,ohio,2023-12-05-19-ohio-state
0,Celeste Taylor,27,1,9,0.111,0,6,0.0,1,3,0.333,2,2,1.0,1,3,4,7,5,2,6,3,5,ohio-state,2023-12-05-19-ohio-state
1,Taylor Thierry,23,5,9,0.556,5,7,0.714,0,2,0.0,5,6,0.833,3,1,4,1,5,0,0,1,15,ohio-state,2023-12-05-19-ohio-state
2,Jacy Sheldon,20,1,4,0.25,1,2,0.5,0,2,0.0,0,0,,0,1,1,2,1,0,5,1,2,ohio-state,2023-12-05-19-ohio-state
3,Cotie McMahon,18,6,9,0.667,5,5,1.0,1,4,0.25,1,3,0.333,1,6,7,1,1,0,2,2,14,ohio-state,2023-12-05-19-ohio-state
